Angles	Fields	Field before	Fields after	Frequency	Magnitude	Phase	Real	Imaginary
-2.80000000E+1	1.05000000E-2	1.22932319E-2	1.23125812E-2	2.43025920E+9	-8.45862743E+1	-2.82193240E+0	-5.59898222E-5	-1.85333247E-5
-2.80000000E+1	1.10000000E-2	1.27903052E-2	1.28088461E-2	2.43025920E+9	-8.43817139E+1	-2.80694474E+0	-5.70332639E-5	-1.98319718E-5
-2.80000000E+1	1.15000000E-2	1.32778193E-2	1.33029707E-2	2.43025920E+9	-8.43421347E+1	-2.80057464E+0	-5.71656715E-5	-2.02871074E-5
-2.80000000E+1	1.20000000E-2	1.37832895E-2	1.37983944E-2	2.43025920E+9	-8.43556269E+1	-2.78599002E+0	-5.67754622E-5	-2.10858804E-5
-2.80000000E+1	1.25000000E-2	1.42731775E-2	1.42942499E-2	2.43025920E+9	-8.43637356E+1	-2.78709654E+0	-5.67457593E-5	-2.10034274E-5
-2.80000000E+1	1.30000000E-2	1.47746113E-2	1.47903719E-2	2.43025920E+9	-8.43319915E+1	-2.79418261E+0	-5.71014716E-5	-2.06762263E-5
-2.80000000E+1	1.35000000E-2	1.52708122E-2	1.52881686E-2	2.43025920E+9	-8.43415387E+1	-2.78257986E+0	-5.67952712E-5	-2.13139133E-5
-2.80000000E+1	1.40000000E-2	1.57648221E-2	1.57844164E-2	2.43025920E+9	-8.43306364E+1	-2.78063630E+0	-5.68250191E-5	-2.14511657E-5
-2.80000000E+1	1.45000000E-2	1.62590079E-2	1.62771651E-2	2.43025920E+9	-8.43517820E+1	-2.77917667E+0	-5.66555535E-5	-2.14817265E-5
-2.80000000E+1	1.50000000E-2	1.67563611E-2	1.67774348E-2	2.43025920E+9	-8.43518297E+1	-2.78887440E+0	-5.68608978E-5	-2.09311795E-5
-2.80000000E+1	1.55000000E-2	1.72605586E-2	1.72760303E-2	2.43025920E+9	-8.43026354E+1	-2.78304801E+0	-5.70602386E-5	-2.13828801E-5
-2.80000000E+1	1.60000000E-2	1.77469700E-2	1.77679483E-2	2.43025920E+9	-8.43201947E+1	-2.78885126E+0	-5.70678831E-5	-2.10088730E-5
-2.80000000E+1	1.65000000E-2	1.82458165E-2	1.82629023E-2	2.43025920E+9	-8.43201856E+1	-2.78663454E+0	-5.70212321E-5	-2.11353465E-5
-2.80000000E+1	1.70000000E-2	1.87437952E-2	1.87625861E-2	2.43025920E+9	-8.42870669E+1	-2.78245498E+0	-5.71498910E-5	-2.14551362E-5
-2.80000000E+1	1.75000000E-2	1.92408013E-2	1.92573421E-2	2.43025920E+9	-8.43337439E+1	-2.77784389E+0	-5.67445925E-5	-2.16020313E-5
-2.80000000E+1	1.80000000E-2	1.97421162E-2	1.97590680E-2	2.43025920E+9	-8.43423320E+1	-2.78336102E+0	-5.68067146E-5	-2.12675977E-5
-2.80000000E+1	1.85000000E-2	2.02376533E-2	2.02554134E-2	2.43025920E+9	-8.43264432E+1	-2.77929485E+0	-5.68236177E-5	-2.15377696E-5
-2.80000000E+1	1.90000000E-2	2.07345971E-2	2.07515631E-2	2.43025920E+9	-8.43171314E+1	-2.78553115E+0	-5.70179221E-5	-2.12057055E-5
-2.80000000E+1	1.95000000E-2	2.12333408E-2	2.12494585E-2	2.43025920E+9	-8.43351423E+1	-2.78203298E+0	-5.68254379E-5	-2.13606948E-5
-2.80000000E+1	2.00000000E-2	2.17195440E-2	2.17440671E-2	2.43025920E+9	-8.43112871E+1	-2.77547139E+0	-5.68399482E-5	-2.17928681E-5
-2.80000000E+1	2.05000000E-2	2.22238239E-2	2.22439000E-2	2.43025920E+9	-8.42875705E+1	-2.77957628E+0	-5.70845818E-5	-2.16183108E-5
-2.80000000E+1	2.10000000E-2	2.27272525E-2	2.27397042E-2	2.43025920E+9	-8.43055109E+1	-2.78250134E+0	-5.70296580E-5	-2.14069821E-5
